"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1986,"Q1",1847.66686317382,700.72800832215,2564.53158263741,1600.70990085182,4139.14381142516,1011.67399463989,601.075680513863,1643.03488784155,1375.6698937125,2955.31528595128,4859.43585744728,711.90976673648,5567.56807807759,1616.18931422263,7175.28981128509,8071.35304484157,"January",5843.09896647153
1986,"Q2",1845.71245742213,705.585356516841,2566.98464837111,1610.27943428042,4151.12403911826,1011.61960392502,606.57346927236,1648.14023862383,1387.0182971505,2971.99463749545,4862.85987886202,715.592055078898,5574.85449500517,1622.75770232333,7189.614501852,8143.78395384103,"April",5934.41140928261
1986,"Q3",1843.75805167044,710.467788302531,2569.43771410482,1619.94919135634,4163.26877523459,1011.57557677806,612.098649785859,1653.24558940612,1398.46404172907,2988.93120229171,4869.13520173193,719.523257834848,5585.27572098548,1630.09128947937,7207.91715878116,8216.40928097923,"July",6025.72385209369
1986,"Q4",1841.80364591877,715.375424665448,2571.89077983854,1629.72056198848,4175.57638413753,1011.54202100856,617.650410424856,1658.35094018842,1410.00607054437,3006.12184801048,4878.16605601473,723.688103839917,5598.71704647612,1638.14997262275,7230.0335770982,8289.09220727871,"October",6117.03629490477
1987,"Q1",1839.8492401671,720.308359361408,2574.34384557226,1639.59462093305,4188.04486207559,1011.51903395516,623.228055247039,1663.45629097071,1421.6433799572,3023.56306901036,4889.8375079065,728.069187999013,5615.04214914105,1646.88722652427,7255.77082657195,8361.70014291129,"January",6208.34873771585
1987,"Q2",1837.89483441545,725.266660810843,2576.79691130599,1649.57213760746,4200.67185232352,1011.50670262491,628.831020224261,1668.561641753,1433.37506823974,3041.25104083988,4904.01714264241,732.6472538693,5634.09512317603,1656.25093287381,7284.91027342229,8434.10681136322,"April",6299.66118052693
1987,"Q3",1835.94042866382,730.250374000288,2579.24997703973,1659.65358764078,4213.45466155595,1011.50510387638,634.458887480129,1673.6669925353,1445.20038027293,3059.18167312483,4920.55689157822,737.401490217423,5655.70266911432,1666.18424993155,7317.21080731388,8506.19428378019,"July",6390.97362333801
1987,"Q4",1833.98602291219,735.259522342454,2581.70304277348,1669.8391658191,4226.39027718549,1011.5143046443,640.111397260723,1678.7723433176,1457.11874728676,3077.35065980104,4939.29497567253,742.309836793795,5679.67641046106,1676.62650839382,7352.4122230258,8577.85493329852,"October",6482.28606614909
1988,"Q1",1832.03161716058,740.294109446923,2584.15610850724,1680.1288000732,4239.47538539278,1011.5343622028,645.788457388187,1683.8776940999,1469.12982071104,3095.75352570416,4960.05793664994,747.349294554718,5705.81530265103,1687.51411912401,7390.23870535374,8648.9932799006,"January",6573.59850896018
1988,"Q2",1830.07721140899,745.354120753815,2586.609174241,1690.52216614887,4252.7063895744,1011.56532446424,651.490149975586,1688.9830448822,1481.23349928318,3114.38566858727,4982.6627265658,752.49623558495,5733.9080992925,1698.78147849965,7430.40236540487,8719.52769739542,"April",6664.91095177127
