"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data","Total.Energy.Consumed"
1979,8886.11150510202,3296.93328911568,12182.8426717688,10730.3735977891,22914.1025238095,3733.41294217687,-2120.7449702381,1612.62642942176,-3143.28697789111,-1530.01543282309,62518.6179115644,-2503.8206164966,60013.8789931975,5195.44545153053,65208.950844388,"February",1979-02-01,75138.1423588443
1979,-9797.87072448975,1739.19274489794,-8058.81358333341,-3880.98007312925,-11940.3350909865,-2872.30496258505,5155.01526360544,2282.57999064629,5637.99452465982,7919.06384948975,-82084.0944608841,3622.51945833335,-78460.8825603743,-11700.9678792516,-90162.0287933674,"March",1979-03-01,-94754.2701479598
1979,11829.2128273809,-5304.6080255102,6524.97046598647,-3047.66821938775,3477.41594047632,3964.55282397961,-6681.02598894557,-2716.13708248302,-6624.86071343534,-9339.30910374145,77792.0106887751,-3920.36912414969,73871.5637984694,12144.6831564624,86016.5709141156,"April",1979-04-01,93585.7763401365
1979,-22143.8132193876,3344.74201785715,-18799.4001335035,2709.86492857144,-16089.2785000002,-9824.48861904764,4960.12715221088,-4864.83389115645,4778.6631318027,-87.1423554422372,-58005.3513996592,2809.61581122452,-55196.4333724489,-6897.63158673453,-62094.0461598639,"May",1979-05-01,-89973.6532380955
1979,42000.3984396257,4799.27196343537,46799.6725586736,9528.32365986391,56327.4938154765,19590.4944719388,266.410428571433,19857.3427457483,2911.60042687077,22768.7912236395,30238.1193784007,137.082381802688,30376.5426011902,2736.21864115632,33112.1802159865,"June",1979-06-01,91829.0122899661
1979,-57799.9172806121,-14414.2524345238,-72213.692404762,-27714.0300280612,-99927.1000501704,-26516.9449753402,-6728.0395952381,-33245.2750680272,-15495.9297346939,-48740.2759668368,3285.96058333395,-4109.65925765303,-825.338224489482,-3816.05254846929,-4640.34895833359,"July",1979-07-01,-81030.9016726191
1979,53164.4289132652,19115.0218630953,72278.552987245,38431.0170204081,110708.940393708,24072.6895314626,11000.7559132653,35073.6495629252,26077.5707423469,61150.2097363946,-39906.0021675174,7219.11285799318,-32685.3157151363,6841.8224804421,-25844.7499659861,"August",1979-08-01,37331.1162772109
1979,-30383.7125484693,-16860.1172763606,-47242.7628052721,-34157.5354455782,-81399.7732585035,-14390.0560442177,-11309.5182083333,-25699.8087032313,-28149.1530671768,-53848.3369719388,69770.5135501703,-8200.24331037414,61568.9416062927,-6821.04879931966,54749.0798146258,"September",1979-09-01,24996.744957483
1979,8523.62354506796,10629.5238222789,19152.2829396258,18626.2127491496,37778.1565382654,6117.43903486397,8485.83866411565,14603.5612738095,21121.4807823129,35724.8454540817,-81286.344194728,7257.91760884353,-74027.2783630953,3010.41262840129,-71017.674652211,"October",1979-10-01,-66645.2816147958
1979,-261.959076530557,-4612.80988180274,-4874.45157653058,-549.754715136079,-5424.05689965996,-3785.53908928572,-4519.76609013606,-8305.62802465989,-8551.3906743197,-16857.0587670068,75166.6020612246,-5065.71526190476,70099.7818392857,3075.06722363951,73175.0409829934,"November",1979-11-01,71119.1038954079
