"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data","Total.Energy.Consumed"
1979,"Q2",-471.611836734693,618.284892857142,146.680790816328,1032.64975510204,1179.3374744898,-37.6972397959171,174.135005102041,136.448811224489,208.987454081634,345.426382653063,1833.01279081632,22.2564846938778,1855.27677040818,50.600785714284,1905.86784183674,-228.270862244898,"April",1979-04-01,1323.70371428573
1979,"Q3",-99.6930969387768,-261.038903061224,-360.729147959185,-159.057168367347,-519.795459183677,6.53064285714152,85.7493316326526,92.2666224489806,408.829780612244,501.105602040813,-269.78933163265,104.33275,-165.46129591838,261.611239795919,96.1574693877537,434.131607142856,"July",1979-07-01,-362.951785714297
1979,"Q4",620.387673469389,296.413760204082,916.797127551021,51.2878775510214,968.092464285718,278.431892857144,1.59360714285742,280.029494897959,-367.075290816326,-87.0501989795894,-3.17215816326643,1.4580459183677,-1.71062755101229,-150.520459183673,-152.233045918374,-168.012239795917,"October",1979-10-01,895.64740816327
1980,"Q1",-481.991739795918,-434.970750000001,-916.964770408165,-380.890464285716,-1297.85847959184,-542.282295918368,-181.377943877551,-723.653928571429,-43.3709438775513,-767.023785714287,-2557.94030102041,-181.161280612245,-2739.09984693878,-268.606566326531,-3007.71026530611,-199.455505102042,"January",1980-01-01,-3582.21433673469
1980,"Q2",294.529163265307,330.414892857144,624.949790816329,478.030755102041,1102.9814744898,581.215760204082,57.8880051020407,639.09681122449,21.0354540816336,660.129382653064,3945.27279081632,127.167484693878,4072.43277040817,416.152785714286,4488.58784183673,-93.6738622448975,"April",1980-04-01,4821.0177142857
1980,"Q3",-216.909096938778,-238.502903061225,-455.416147959185,-536.017168367347,-991.433459183672,-311.926357142857,105.058331632653,-206.867377551022,146.987780612244,-59.8743979591864,-2300.82933163265,15.818749999999,-2285.00729591837,-344.835760204081,-2629.84053061224,484.948607142856,"July",1980-07-01,-2829.66478571427
1980,"Q4",-85.3803265306096,488.193760204081,402.81712755102,1036.54087755102,1439.35846428571,0.0628928571422875,53.6456071428568,53.7154948979605,154.734709183675,208.445801020409,457.557841836731,-33.0289540816315,424.535372448983,269.318540816327,693.851954081627,-484.443239795919,"October",1980-10-01,372.240408163253
1981,"Q1",480.48826020408,-698.224749999999,-217.742770408164,-1372.04346428571,-1589.78847959184,96.3127040816332,-235.702943877551,-139.399928571429,-458.816943877551,-598.213785714284,-705.897301020404,11.1177193877543,-694.789846938773,-142.981566326531,-837.769265306119,344.675494897961,"January",1981-01-01,-129.096336734683
1981,"Q2",-483.480836734692,433.452892857142,-50.0242091836722,721.838755102041,671.819474489797,-97.0362397959187,74.8570051020406,-22.1751887755113,67.4484540816329,45.2723826530596,1466.13379081632,-33.2945153061221,1432.84877040816,-26.7722142857147,1406.06784183673,18.2271377551024,"April",1981-04-01,885.616714285707
1981,"Q3",-51.8890969387776,-187.212903061224,-239.096147959185,-55.0171683673477,-294.120459183676,32.6186428571431,118.776331632653,151.399622448982,455.091780612244,606.488602040818,-630.950331632652,46.6897499999999,-584.269295918363,168.00123979592,-416.258530612247,-393.154392857145,"July",1981-07-01,-650.22078571428
