Contiguous U.S. December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1973-2020,,
Missing: -99,,
Date,Value,Anomaly
201707,75.7,1.52
201708,72.01,-0.68
201709,66.27,0.79
201710,55.69,1.41
201711,45.03,2.35
201712,34.29,0.62
201801,32.16,0.77
201802,35.51,0.47
201803,42.73,-0.44
201804,49.03,-2.64
201805,65.52,4.77
201806,71.55,2.31
201807,75.45,1.27
201808,73.51,0.82
201809,67.53,2.05
201810,53.71,-0.57
201811,40.01,-2.67
201812,35.51,1.84
201901,32.56,1.17
201902,31.84,-3.2
201903,40.28,-2.89
201904,52.84,1.17
201905,59.49,-1.26
201906,68.72,-0.52
201907,74.62,0.44
201908,73.74,1.05
201909,68.43,2.95
201910,52.05,-2.23
201911,41.11,-1.57
201912,36.43,2.76
202001,35.55,4.16
202002,36.18,1.14
202003,46.08,2.91
202004,50.88,-0.79
202005,60.91,0.16
202006,70.29,1.05
202007,75.65,1.47
202008,74.71,2.02
202009,65.91,0.43
202010,54.28,0
202011,46.31,3.63
202012,35.71,2.04
202101,34.59,3.2
202102,30.61,-4.43
202103,45.52,2.35
202104,51.87,0.2
202105,60.35,-0.4
202106,72.59,3.35
202107,75.42,1.24
202108,73.98,1.29
202109,67.8,2.32
202110,56.97,2.69
202111,45.07,2.39
202112,39.34,5.67
202201,31.17,-0.22
202202,33.66,-1.38
202203,44.1,0.93
202204,50.67,-1
202205,61.93,1.18
202206,70.81,1.57
202207,76.42,2.24
202208,74.61,1.92
202209,68.04,2.56
202210,55.2,0.92
202211,40.96,-1.72
202212,33.12,-0.55
202301,35.13,3.74
202302,36.43,1.39
202303,40.62,-2.55
202304,51.35,-0.32
202305,62.4,1.65
202306,68.99,-0.25
202307,75.67,1.49
202308,74.35,1.66
202309,67.75,2.27
202310,56.07,1.79
202311,44.28,1.6
202312,39.81,6.14
202401,31.93,0.54
202402,41.05,6.01
202403,45.14,1.97
